date,state,district,type,beds
1/1/2022,Terengganu,Kuala Terengganu,special_medical_institution,0
1/1/2022,Terengganu,Marang,hospital_moh,0
1/1/2022,Terengganu,Marang,hospital_non_moh,0
1/1/2022,Terengganu,Marang,special_medical_institution,0
1/1/2022,Terengganu,Setiu,hospital_moh,76
1/1/2022,Terengganu,Setiu,hospital_non_moh,0
1/1/2022,Terengganu,Setiu,special_medical_institution,0
1/1/2022,W.P. Kuala Lumpur,W.P. Kuala Lumpur,hospital_moh,1553
1/1/2022,W.P. Kuala Lumpur,W.P. Kuala Lumpur,hospital_non_moh,2437
1/1/2022,W.P. Kuala Lumpur,W.P. Kuala Lumpur,special_medical_institution,884
1/1/2022,W.P. Labuan,W.P. Labuan,hospital_moh,122
1/1/2022,W.P. Labuan,W.P. Labuan,hospital_non_moh,0
1/1/2022,W.P. Labuan,W.P. Labuan,special_medical_institution,0
1/1/2022,W.P. Putrajaya,W.P. Putrajaya,hospital_moh,385
1/1/2022,W.P. Putrajaya,W.P. Putrajaya,hospital_non_moh,0
1/1/2022,W.P. Putrajaya,W.P. Putrajaya,special_medical_institution,252
